,user,time,type,square,number
233,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1143.0,number_add,39,2
250,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1140.0,number_add,39,0
232,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1136.0,note_add,39,2
239,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1135.0,note_add,39,8
240,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1134.0,note_add,39,9
225,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1133.0,note_add,40,8
229,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1133.0,note_add,40,2
241,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1133.0,note_add,40,9
220,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1131.0,note_add,41,8
226,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1131.0,note_add,41,9
230,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1131.0,note_add,41,2
235,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1116.0,note_add,36,4
253,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1114.0,note_add,36,1
228,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1112.0,note_add,44,1
236,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1111.0,note_add,44,4
248,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1056.0,number_add,6,8
224,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,1047.0,number_add,9,8
237,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,978.0,number_remove,75,0
246,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,964.0,number_add,58,8
252,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,960.0,number_add,40,8
243,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,958.0,number_add,40,0
251,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,952.0,number_add,39,8
242,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,947.0,number_add,40,2
223,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,946.0,number_add,41,9
247,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,855.0,number_remove,77,0
222,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,782.0,number_add,47,8
238,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,773.0,number_remove,61,0
221,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,720.0,number_remove,75,0
244,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,689.0,number_remove,66,0
227,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,664.0,number_remove,62,0
249,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,605.0,number_add,0,2
245,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,520.0,number_remove,52,0
234,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,406.0,number_remove,67,0
231,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,-1.0,difficulty,-1,9
254,F1AF1BCA9E9E2A2266B4B5AFDD351F7E2A14A9FDB57F42098419EDA9BC0DACB7,-1.0,enjoy,-1,5
