,user,time,type,square,number
305,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1175.714,number_add,0,2
314,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1162.001,number_add,31,3
307,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1088.905,note_add,36,1
306,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1088.721,note_add,36,4
308,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1087.4,note_add,44,1
320,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1087.2160000000001,note_add,44,4
329,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1074.422,note_add,40,2
313,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1072.867,note_add,41,2
330,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1071.73,note_add,39,8
310,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1070.643,note_add,40,8
309,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1067.851,note_add,39,9
315,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1066.78,note_add,41,9
319,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1048.503,note_add,50,5
324,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1048.269,note_add,50,7
321,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1047.014,note_add,49,5
317,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1046.8139999999999,note_add,49,6
312,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1046.546,note_add,49,7
331,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1045.325,note_add,30,5
333,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1045.141,note_add,30,6
328,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1044.891,note_add,30,7
326,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,991.6767,number_add,9,8
318,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,985.9244,number_add,6,8
311,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,981.1414,number_add,47,8
332,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,967.495,number_add,58,8
316,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,965.3544,number_add,39,8
325,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,963.9999,number_add,41,9
327,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,962.8794,number_add,40,2
322,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,-1.0,enjoy,-1,5
323,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,-1.0,difficulty,-1,5
