,user,time,type,square,number
170,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1193.0,number_add,0,1
223,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1186.0,note_add,24,4
153,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1185.0,note_add,25,4
172,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1181.0,number_add,8,5
232,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1170.0,note_add,32,9
176,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1163.0,number_add,64,2
186,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1154.0,note_add,38,1
233,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1147.0,note_add,29,2
234,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1145.0,note_remove,29,2
184,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1138.0,number_add,11,2
174,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1135.0,note_add,3,2
175,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1134.0,note_add,4,2
162,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1120.0,note_add,48,5
158,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1119.0,note_add,50,5
159,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1099.0,note_add,18,8
235,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1097.0,number_add,18,8
188,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1088.0,note_add,10,9
160,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1085.0,number_add,72,9
236,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1082.0,note_add,60,9
161,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1081.0,note_add,62,9
163,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1073.0,number_add,52,2
187,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1070.0,note_add,39,2
173,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1059.0,number_add,70,5
185,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1057.0,number_add,70,0
154,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1056.0,note_add,70,5
231,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1055.0,note_add,79,5
155,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1030.0,note_add,10,6
229,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1028.0,note_add,20,6
189,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,1001.0,note_add,24,3
179,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,991.0,note_add,6,8
183,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,976.0,note_add,46,4
156,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,972.0,note_add,74,4
190,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,925.0,number_add,44,1
166,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,921.0,note_add,49,1
164,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,916.0,number_add,70,1
167,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,908.0,note_remove,49,1
168,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,901.0,number_add,68,5
157,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,869.0,note_add,46,3
152,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,859.0,note_add,76,3
151,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,858.0,note_add,77,3
171,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,843.0,number_add,36,6
169,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,842.0,number_add,36,0
225,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,840.0,note_add,36,7
224,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,840.0,note_add,36,6
230,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,838.0,note_add,45,6
226,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,836.0,note_add,45,7
227,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,818.0,note_add,55,7
228,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,815.0,note_add,56,7
197,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,813.0,number_add,69,7
199,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,808.0,note_add,34,7
196,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,807.0,note_add,35,7
198,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,783.0,note_add,57,4
200,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,760.0,number_add,60,8
201,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,748.0,note_add,76,8
203,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,747.0,note_add,77,8
204,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,743.0,note_remove,76,4
205,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,736.0,note_add,66,6
206,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,703.0,number_add,16,8
207,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,698.0,note_add,3,8
202,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,697.0,note_add,4,8
209,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,652.0,note_add,51,6
216,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,631.0,note_add,17,7
210,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,629.0,note_add,35,3
215,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,624.0,note_add,25,7
212,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,622.0,note_add,34,4
217,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,597.0,note_add,6,9
213,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,595.0,note_add,24,9
214,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,504.0,note_add,20,7
211,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,410.0,number_add,6,9
208,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,392.0,note_add,14,7
191,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,360.0,number_add,17,7
193,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,321.0,number_add,56,7
194,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,309.0,number_add,28,4
165,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,248.0,note_add,31,6
192,D67459B1BB7C4879BF7C1BBA081B16C529F6D5CF3435616AC04D52C723008448,234.0,number_add,32,8
