,user,time,type,square,number
42,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1192.0,number_add,0,1
43,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1186.0,note_add,24,4
44,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1184.0,note_add,25,4
47,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1178.0,number_add,8,5
45,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1168.0,note_add,30,9
49,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1167.0,note_add,32,9
50,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1159.0,number_add,64,2
51,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1146.0,number_add,11,2
52,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1140.0,note_add,29,1
53,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1139.0,note_add,38,1
54,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1124.0,number_add,38,5
55,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1122.0,number_add,29,1
57,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1114.0,number_add,18,8
56,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1102.0,number_add,52,2
58,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1095.0,note_add,70,5
59,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1094.0,note_add,79,5
60,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1076.0,note_add,10,6
61,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1075.0,note_add,20,6
62,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1068.0,note_add,10,9
63,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1067.0,note_add,1,9
46,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1058.0,note_add,3,2
48,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1057.0,note_add,4,2
65,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1029.0,note_add,24,3
66,4DAC289637328D23DABA43B9C6AB85F3FF989B55C249B066B6335C71FBFC58AC,1028.0,note_add,17,3
