,user,time,type,square,number
301,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1183.368,number_add,60,2
298,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1170.257,number_add,8,3
297,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1140.69,number_add,72,6
290,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1125.54,number_add,71,8
291,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1087.914,note_add,44,4
302,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1086.6760000000002,note_add,53,4
292,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1078.432,number_add,15,4
287,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1062.26,note_add,62,6
294,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1061.173,note_add,80,6
295,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1049.734,note_add,44,7
286,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1048.447,note_add,53,7
303,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1046.758,note_add,62,7
299,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1044.049,note_add,80,7
289,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1043.28,note_add,80,9
288,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1042.109,note_add,62,9
300,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1040.905,note_add,53,9
296,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,1039.45,note_add,44,9
293,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,-1.0,difficulty,-1,10
285,5738626B07976D47CCE263AEA693869BBC3DB8F42D9002AEB718915A88AFB62E,-1.0,enjoy,-1,2
