,user,time,type,square,number
8,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,1194.6680000000001,number_add,76,1
2,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,1183.455,number_add,35,1
17,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,1099.019,number_add,0,8
39,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,1095.912,number_add,74,8
9,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,1093.5410000000002,number_add,62,8
21,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,1091.577,number_add,43,8
27,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,1059.282,number_add,66,2
18,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,1019.377,number_add,4,4
22,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,995.2949,number_add,44,6
11,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,987.1808,number_add,7,6
14,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,949.8334,number_add,79,5
24,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,929.8736,number_add,54,4
16,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,795.3817,number_add,26,2
29,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,780.4144,number_add,8,7
1,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,777.942,number_add,80,9
5,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,776.665,number_add,71,4
49,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,773.8774,number_add,69,7
48,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,771.355,number_add,34,7
47,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,761.002,number_add,16,4
10,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,758.3961,number_add,25,3
45,0A928871A8CCC54230CF240EA6967AA3D4F8F7AB2217CFF4B671FC6D9F709A31,754.2623,number_add,15,9
