,user,time,type,square,number
354,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1176.0,note_add,26,2
379,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1161.0,note_add,1,5
355,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1160.0,note_add,20,5
363,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1131.0,note_remove,44,8
360,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1125.0,number_add,48,8
375,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1120.0,number_add,14,8
376,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1109.0,number_add,74,8
361,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1097.0,number_add,43,8
407,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1079.0,note_add,36,9
418,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1078.0,note_add,37,9
394,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1071.0,note_add,32,9
377,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1062.0,note_add,26,9
398,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1038.0,number_add,66,2
397,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1034.0,note_add,72,2
367,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1013.0,note_add,79,3
416,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,1002.0,number_add,4,4
372,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,996.0,note_add,15,4
420,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,994.0,note_add,16,4
389,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,990.0,note_add,32,4
358,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,989.0,note_add,41,4
356,D552F20C204D609C1E83AB470EF72D4FCEF1C07BB0BAD6787AF672D769517EBC,978.0,note_add,65,4
