,user,time,type,square,number
363,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1179.573,number_add,22,3
332,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1144.015,number_add,48,2
357,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1142.292,number_add,48,3
349,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1141.188,number_add,48,4
352,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1133.412,number_add,50,5
331,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1129.515,number_add,40,7
330,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1123.712,number_add,32,8
368,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1119.397,number_add,30,3
333,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1113.594,number_add,23,1
364,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1098.66,number_add,5,4
365,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1093.443,number_add,13,5
369,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1083.307,number_add,12,7
362,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1074.36,number_add,23,9
367,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1070.563,number_add,3,1
342,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1060.495,number_add,38,1
341,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1044.323,number_add,34,1
336,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1039.991,number_add,29,4
338,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1033.771,number_add,27,5
334,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1023.803,number_add,35,7
326,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1014.671,number_add,46,2
323,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,1011.6610000000001,number_add,37,4
314,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,992.6617,number_add,29,7
311,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,990.0026,number_add,45,7
313,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,988.7985,number_add,29,4
319,7CDDE2283850D746864FD3ADD64A60E167B8B7525E504F77234757EF3830AC34,982.0922,number_add,38,6
