,user,time,type,square,number
67,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1187.726,number_add,30,3
66,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1174.167,number_add,32,8
68,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1153.35,number_add,51,9
70,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1089.47,number_add,45,6
69,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1081.203,number_add,57,6
75,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1079.366,number_add,70,6
91,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1077.31,number_add,17,6
72,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1075.424,number_add,20,6
89,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,1051.307,number_add,75,2
65,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,972.3969,note_add,0,1
82,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,970.4636,note_add,1,1
83,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,968.7646,note_add,10,1
86,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,967.9317,note_add,11,1
101,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,967.4314,note_add,19,1
104,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,966.9648,note_add,18,1
73,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,963.7327,note_add,18,2
79,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,963.3326,note_add,19,2
77,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,962.4995,note_add,0,2
76,D7CC5D5C6F46B32168D74B9F383A2AB8648C77EBC6CD200AB30EA872A977956D,961.9828,note_add,1,2
