,user,time,type,square,number
293,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,1177.624,number_add,42,1
290,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,1136.792,number_add,48,2
241,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,1114.721,number_add,55,6
233,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,778.8245,number_add,80,7
237,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,777.4581,number_add,80,0
209,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,774.2092,number_add,80,7
218,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,773.0761,number_add,80,0
243,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,685.2806,note_add,29,3
246,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,677.7989,note_remove,29,3
212,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,674.6497,note_add,29,3
229,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,673.6331,note_remove,29,3
220,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,671.5169,note_add,29,4
232,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,669.0342,note_add,29,5
244,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,667.2679,note_add,38,4
211,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,666.6014,note_add,38,5
236,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,663.2522,note_add,28,1
213,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,661.9022,note_remove,28,1
242,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,660.6692,number_add,28,1
288,EAC0F31812264841A927C58BD7B9C390709736DDC39AB09B51EB3376B4EA6BE6,658.3363,number_add,36,8
